Category,Location,Impact,Units,Reference,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia (US),Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,
PM25,Urban,Primary Health,/metric ton,Air Pollution_PM25_Urban_Primary Health,"27,864.15","9,615.68","36,423.18","29,880.29","35,852.50","25,098.48","43,159.51","8,454.35","7,340.24","36,859.62","48,878.32","23,004.93","12,234.62","36,695.66","9,499.59","11,791.77","9,291.36","42,094.20","10,466.75","8,511.38","7,340.24","15,951.21","40,527.33","22,766.50","8,326.38","7,345.03","10,386.25","8,626.67","14,345.05","9,907.25","10,309.97","32,393.66","13,340.66","37,269.46","36,705.66","35,995.83","27,571.73","8,744.23","7,340.24","38,285.70","7,442.70","43,288.13","12,162.64","36,551.68","8,954.49","36,082.42","13,268.26","17,099.69","36,132.11","8,941.10",
PM25,Peri-Urban,Primary Health,/metric ton,Air Pollution_PM25_Peri-Urban_Primary Health,"21,398.35","8,252.31","32,885.21","23,100.23","25,739.82","25,250.24","35,702.04","7,884.44","6,897.89","32,719.95","39,641.98","16,237.05","10,490.42","32,873.88","8,417.62","10,121.80","8,131.85","36,042.93","8,812.27","7,931.32","7,379.72","13,130.47","34,391.20","17,802.06","7,801.42","6,868.91","8,030.18","8,123.04","11,431.36","9,317.51","9,186.36","32,759.70","12,201.07","33,111.08","32,882.36","32,708.04","21,994.72","8,174.32","6,958.39","33,578.98","6,948.81","35,804.42","11,871.65","30,628.93","7,791.32","24,169.38","11,101.46","15,808.19","27,862.59","8,495.11",
PM25,Rural,Primary Health,/metric ton,Air Pollution_PM25_Rural_Primary Health,"18,688.28","3,742.57","7,074.92","12,977.39","18,772.05","6,482.20","21,966.39","4,645.95","3,605.67","19,523.13","21,758.92","5,190.83","11,403.77","15,084.39","3,870.00","4,837.12","5,219.19","20,313.06","6,534.14","4,696.02","3,605.67","14,487.37","19,545.70","12,833.21","5,289.71","3,606.62","3,726.31","4,449.49","10,264.73","6,000.55","4,348.11","19,198.14","5,692.71","19,926.81","19,189.73","8,002.26","8,919.76","4,918.73","3,605.67","20,342.70","3,697.27","20,164.44","4,848.81","10,931.46","5,097.08","19,279.33","8,505.19","11,871.44","14,746.82","3,937.46",
PM25,Transport,Primary Health,/metric ton,Air Pollution_PM25_Transport_Primary Health,"20,691.71","7,904.18","30,955.28","22,121.76","26,022.96","21,299.88","33,821.31","7,625.11","6,636.52","31,027.14","36,124.19","15,876.76","10,968.97","31,017.73","8,162.50","9,899.97","8,070.33","33,259.16","8,793.72","7,675.71","7,528.87","13,142.25","32,278.60","16,998.03","7,563.22","6,574.80","8,270.74","7,678.35","11,291.64","9,061.13","8,742.79","30,822.75","11,068.09","31,287.74","31,033.69","30,790.55","20,413.78","7,913.27","6,807.87","31,705.78","6,675.66","33,423.63","10,495.71","30,826.44","7,594.11","27,983.80","10,933.37","15,374.75","28,667.98","7,891.41",
PM25,N/A for PM2.5,Visibility,/metric ton,Air Pollution_PM25_N/A for PM2.5_Visibility,14.28,9.33,15.77,12.35,22.52,17.84,26.42,23.24,20.78,19.70,18.26,12.91,19.77,17.26,14.74,13.52,14.51,13.25,14.30,26.62,27.98,15.86,17.22,11.98,15.04,10.44,12.86,13.39,21.31,30.43,10.77,20.12,11.13,20.42,18.13,13.04,14.98,19.65,25.36,16.46,11.37,16.64,16.61,16.23,16.33,21.26,20.13,12.80,16.27,10.33,
SOx,Urban,Primary Health,/metric ton,Air Pollution_SOx_Urban_Primary Health,"9,680.04","3,085.52","12,665.34","11,593.87","12,587.88","8,626.57","14,459.09","2,844.99","2,453.53","12,740.64","15,447.10","8,727.29","4,240.64","12,729.77","3,189.19","4,029.90","3,212.67","13,941.37","3,939.38","2,863.83","2,453.53","5,297.02","13,418.51","7,859.72","2,792.09","2,455.07","3,494.91","2,920.80","5,766.58","3,351.05","3,670.61","11,282.47","4,511.82","12,824.82","12,727.87","12,577.22","9,279.35","2,940.60","2,453.53","13,063.14","2,488.95","13,975.65","4,161.91","12,762.05","3,148.03","12,591.29","4,626.94","5,708.27","12,604.72","3,014.74",
SOx,Peri-Urban,Primary Health,/metric ton,Air Pollution_SOx_Peri-Urban_Primary Health,"7,633.30","2,815.35","12,935.71","9,331.82","10,290.72","8,928.27","14,007.89","2,707.81","2,361.41","12,906.59","14,878.05","5,784.80","3,675.36","12,948.89","2,885.92","3,510.62","2,881.22","13,840.11","3,365.67","2,724.59","2,522.89","4,536.79","13,306.34","6,315.68","2,684.12","2,349.00","2,759.03","2,812.61","4,689.77","3,210.96","3,182.27","12,900.44","4,232.47","13,004.48","12,948.42","12,892.15","7,890.56","2,804.40","2,378.86","13,134.94","2,376.53","13,672.88","4,163.35","12,900.97","2,790.43","8,787.29","3,974.31","5,613.37","10,607.30","2,941.64",
SOx,Rural,Primary Health,/metric ton,Air Pollution_SOx_Rural_Primary Health,"6,504.80","1,370.05","2,592.06","4,902.93","6,650.92","2,305.82","7,610.31","1,690.21","1,332.77","6,724.65","7,405.86","1,940.81","4,040.18","5,796.00","1,419.16","1,757.98","1,958.57","6,971.27","2,710.67","1,705.58","1,332.77","4,832.41","6,729.64","4,479.25","1,897.46","1,333.04","1,372.55","1,628.77","4,438.91","2,150.52","1,620.02","6,652.77","2,031.62","6,829.93","6,654.94","2,836.58","3,036.58","1,777.80","1,332.77","6,934.77","1,363.11","6,875.96","1,762.21","5,135.40","1,967.90","6,669.94","3,063.72","4,062.53","5,269.89","1,446.81",
SOx,Transport,Primary Health,/metric ton,Air Pollution_SOx_Transport_Primary Health,"7,248.79","2,647.27","10,786.08","8,624.48","10,112.50","7,388.83","11,839.32","2,591.36","2,250.25","10,807.44","12,324.32","5,713.75","3,800.84","10,812.62","2,765.62","3,403.07","2,831.52","11,474.72","3,324.27","2,608.43","2,545.39","4,454.28","11,116.28","5,923.32","2,571.70","2,229.10","2,809.80","2,626.11","4,544.41","3,083.75","3,033.98","10,750.38","3,777.79","10,877.22","10,814.64","10,744.11","7,076.58","2,685.06","2,306.14","11,001.33","2,263.39","11,422.20","3,613.91","10,783.43","2,687.98","9,875.88","3,868.77","5,316.45","10,407.73","2,697.17",
SOx,N/A for SOx,Visibility,/metric ton,Air Pollution_SOx_N/A for SOx_Visibility,35.67,24.79,36.26,32.94,43.83,37.82,49.05,45.81,41.49,42.64,40.14,31.98,41.81,39.42,35.22,33.35,36.08,34.51,34.53,48.53,50.21,37.27,37.60,32.65,36.24,28.25,32.21,32.80,42.43,52.82,29.62,41.97,29.48,43.30,40.84,33.59,34.95,42.25,48.56,38.55,29.69,38.68,37.77,35.56,37.17,42.80,40.74,33.88,37.42,27.85,
