,,,,,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,Democratic Republic of the Congo,Republic of the Congo,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong SAR,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,North Korea,South Korea,Kosovo,Kuwait,Kyrgyz Republic,Lao,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,St. Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Virgin Islands (U.S.),West Bank and Gaza,Yemen,Zambia,Zimbabwe,
Category,Location,Impact,Units,Reference,South Asia,Europe & Central Asia,Middle East & North Africa,East Asia & Pacific,Europe & Central Asia,Sub-Saharan Africa,Latin America & Caribbean,Latin America & Caribbean,Europe & Central Asia,Latin America & Caribbean,East Asia & Pacific,Europe & Central Asia,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,South Asia,Latin America & Caribbean,Europe & Central Asia,Europe & Central Asia,Latin America & Caribbean,Sub-Saharan Africa,North America,South Asia,Latin America & Caribbean,Europe & Central Asia,Sub-Saharan Africa,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,Europe & Central Asia,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,North America,Latin America & Caribbean,Sub-Saharan Africa,Sub-Saharan Africa,Europe & Central Asia,Latin America & Caribbean,East Asia & Pacific,Latin America & Caribbean,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Latin America & Caribbean,Sub-Saharan Africa,Europe & Central Asia,Latin America & Caribbean,Latin America & Caribbean,Europe & Central Asia,Europe & Central Asia,Europe & Central Asia,Middle East & North Africa,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Middle East & North Africa,Latin America & Caribbean,Sub-Saharan Africa,Sub-Saharan Africa,Europe & Central Asia,Sub-Saharan Africa,Sub-Saharan Africa,Europe & Central Asia,East Asia & Pacific,Europe & Central Asia,Europe & Central Asia,East Asia & Pacific,Sub-Saharan Africa,Sub-Saharan Africa,Europe & Central Asia,Europe & Central Asia,Sub-Saharan Africa,Europe & Central Asia,Europe & Central Asia,Europe & Central Asia,Latin America & Caribbean,East Asia & Pacific,Latin America & Caribbean,Sub-Saharan Africa,Sub-Saharan Africa,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,Europe & Central Asia,Europe & Central Asia,South Asia,East Asia & Pacific,Middle East & North Africa,Middle East & North Africa,Europe & Central Asia,Europe & Central Asia,Middle East & North Africa,Europe & Central Asia,Latin America & Caribbean,East Asia & Pacific,Middle East & North Africa,Europe & Central Asia,Sub-Saharan Africa,East Asia & Pacific,East Asia & Pacific,East Asia & Pacific,Europe & Central Asia,Middle East & North Africa,Europe & Central Asia,East Asia & Pacific,Europe & Central Asia,Middle East & North Africa,Sub-Saharan Africa,Sub-Saharan Africa,Middle East & North Africa,Europe & Central Asia,Europe & Central Asia,Europe & Central Asia,East Asia & Pacific,Sub-Saharan Africa,Sub-Saharan Africa,East Asia & Pacific,South Asia,Sub-Saharan Africa,Middle East & North Africa,East Asia & Pacific,Sub-Saharan Africa,Sub-Saharan Africa,Latin America & Caribbean,East Asia & Pacific,Europe & Central Asia,Europe & Central Asia,East Asia & Pacific,Europe & Central Asia,Middle East & North Africa,Sub-Saharan Africa,East Asia & Pacific,Sub-Saharan Africa,East Asia & Pacific,South Asia,Europe & Central Asia,East Asia & Pacific,East Asia & Pacific,Latin America & Caribbean,Sub-Saharan Africa,Sub-Saharan Africa,Europe & Central Asia,East Asia & Pacific,Europe & Central Asia,Middle East & North Africa,South Asia,East Asia & Pacific,Latin America & Caribbean,East Asia & Pacific,Latin America & Caribbean,Latin America & Caribbean,East Asia & Pacific,Europe & Central Asia,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,Europe & Central Asia,Europe & Central Asia,Sub-Saharan Africa,East Asia & Pacific,Europe & Central Asia,Sub-Saharan Africa,Middle East & North Africa,Sub-Saharan Africa,Europe & Central Asia,Sub-Saharan Africa,Sub-Saharan Africa,East Asia & Pacific,Latin America & Caribbean,Europe & Central Asia,Europe & Central Asia,East Asia & Pacific,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,Europe & Central Asia,South Asia,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Latin America & Caribbean,Sub-Saharan Africa,Latin America & Caribbean,Europe & Central Asia,Europe & Central Asia,Middle East & North Africa,East Asia & Pacific,Europe & Central Asia,Sub-Saharan Africa,East Asia & Pacific,East Asia & Pacific,Sub-Saharan Africa,East Asia & Pacific,Latin America & Caribbean,Middle East & North Africa,Europe & Central Asia,Europe & Central Asia,Latin America & Caribbean,East Asia & Pacific,Sub-Saharan Africa,Europe & Central Asia,Middle East & North Africa,Europe & Central Asia,North America,Latin America & Caribbean,Europe & Central Asia,East Asia & Pacific,Latin America & Caribbean,East Asia & Pacific,Latin America & Caribbean,Middle East & North Africa,Middle East & North Africa,Sub-Saharan Africa,Sub-Saharan Africa,
Hazardous,Landfill,Leachate,/kg,Waste_Hazardous_Landfill_Leachate,18.19,19.63,18.10,44.44,32.40,23.31,20.15,33.58,19.63,20.15,26.45,8.97,19.63,20.15,69.66,20.37,20.15,19.63,10.39,22.11,23.31,26.85,18.68,8.52,19.63,28.93,22.49,20.15,44.44,26.42,23.31,23.31,23.31,21.04,23.31,23.40,20.15,23.31,23.31,32.40,13.02,45.25,16.19,23.31,23.31,23.31,35.21,23.31,32.40,22.11,20.15,32.40,60.36,10.12,18.10,22.11,33.12,12.39,24.42,22.11,28.93,23.31,33.60,23.31,23.31,32.40,34.30,4.78,7.66,44.44,28.93,23.31,19.63,8.96,23.31,32.40,30.65,32.40,22.11,44.44,18.78,23.31,23.31,20.15,8.52,8.52,44.44,48.64,32.40,9.51,19.95,18.10,30.29,50.60,32.40,69.66,65.69,17.48,39.57,11.79,19.63,23.31,21.04,26.70,91.90,19.63,69.66,16.39,21.04,33.76,18.10,23.31,23.31,30.29,32.40,41.76,32.40,44.44,23.31,23.31,47.11,21.99,23.31,69.66,34.30,23.31,44.85,19.26,21.04,19.63,32.40,21.04,19.63,18.10,23.31,21.04,28.93,44.44,18.68,11.39,44.44,19.85,8.52,23.31,23.31,19.63,44.44,38.39,69.66,18.68,34.30,27.33,21.04,22.11,12.62,23.94,50.21,61.05,20.15,69.66,34.81,12.84,23.31,21.04,32.40,23.31,69.66,23.31,19.63,31.22,23.31,44.44,20.15,58.35,59.71,21.04,23.31,13.00,23.31,33.62,26.18,20.15,22.11,20.15,22.11,23.31,22.11,5.38,32.40,26.49,44.44,16.39,23.31,24.88,21.04,23.31,34.30,20.15,18.10,19.63,19.63,20.15,34.30,23.31,16.39,69.66,8.80,30.30,20.10,16.39,21.04,22.11,18.14,20.15,30.29,26.49,23.31,23.31,
Hazardous,Landfill,Waste GHGs,/kg,Waste_Hazardous_Landfill_Waste GHGs,179.15,187.00,183.05,183.84,185.85,136.54,152.34,66.45,187.00,152.34,183.05,187.00,187.00,152.34,183.05,178.32,152.34,187.00,187.00,112.54,136.54,187.00,181.47,123.89,187.00,96.26,85.05,152.34,183.84,187.00,136.54,136.54,136.54,185.01,136.54,187.00,152.34,136.54,136.54,185.85,178.32,178.32,18.56,136.54,136.54,136.54,62.12,136.54,185.85,112.54,152.34,185.85,187.00,187.00,183.05,112.54,191.51,89.04,183.05,112.54,96.26,136.54,187.00,136.54,136.54,185.85,181.38,187.00,187.00,183.84,96.26,136.54,187.00,187.00,136.54,185.85,178.32,185.85,112.54,183.84,162.07,136.54,136.54,152.34,123.89,123.89,183.84,187.00,185.85,183.05,191.70,183.05,158.10,187.00,185.85,183.05,187.00,191.70,187.00,183.05,187.00,136.54,185.01,179.96,178.32,187.00,183.05,187.00,185.01,187.00,183.05,136.54,136.54,158.10,185.85,187.00,185.85,183.84,136.54,136.54,172.44,157.31,136.54,183.05,181.38,136.54,9.46,42.92,185.01,187.00,185.85,185.01,187.00,183.05,136.54,185.01,96.26,183.84,181.47,187.00,183.84,187.00,123.89,136.54,136.54,187.00,183.84,180.68,183.05,181.47,181.38,111.35,185.01,112.54,145.42,191.70,187.00,178.32,152.34,183.05,187.00,187.00,136.54,185.01,185.85,136.54,183.05,136.54,187.00,139.45,136.54,183.84,152.34,187.00,187.00,185.01,136.54,183.05,136.54,183.05,183.05,152.34,112.54,152.34,112.54,136.54,112.54,187.00,185.85,179.94,183.84,187.00,136.54,183.05,185.01,136.54,181.38,152.34,183.05,187.00,187.00,152.34,181.38,136.54,187.00,183.05,187.00,187.00,167.35,187.00,185.01,183.05,178.32,152.34,158.10,179.94,136.54,136.54,
Hazardous,Landfill,Disamenity,/kg,Waste_Hazardous_Landfill_Disamenity,45.96,152.67,8.95,105.93,371.76,48.07,3.04,1.65,152.67,3.04,14.48,51.13,152.67,3.04,153.91,3.15,3.04,152.67,59.87,6.83,48.07,24.32,16.16,0.00,152.67,20.37,6.78,3.04,105.93,6.27,48.07,48.07,48.07,304.68,48.07,29.47,3.04,48.07,48.07,371.76,1.39,50.81,1.46,48.07,48.07,48.07,7.88,48.07,371.76,6.83,3.04,371.76,41.90,"4,055.10",8.95,6.83,14.50,3.31,1.87,6.83,20.37,48.07,7.35,48.07,48.07,371.76,27.55,856.79,123.02,105.93,20.37,48.07,152.67,19.92,48.07,371.76,10.45,371.76,6.83,105.93,7.32,48.07,48.07,3.04,0.00,0.00,105.93,19.24,371.76,24.33,8.55,8.95,42.62,18.26,371.76,153.91,43.34,26.25,14.88,16.04,152.67,48.07,304.68,95.04,387.70,152.67,153.91,6.12,304.68,4.31,8.95,48.07,48.07,42.62,371.76,9.85,371.76,105.93,48.07,48.07,8.74,22.07,48.07,153.91,27.55,48.07,28.73,3.72,304.68,152.67,371.76,304.68,152.67,8.95,48.07,304.68,20.37,105.93,16.16,"2,825.87",105.93,6.64,0.00,48.07,48.07,152.67,105.93,10.67,153.91,16.16,27.55,5.22,304.68,6.83,1.69,32.22,19.84,19.37,3.04,153.91,8.66,299.07,48.07,304.68,371.76,48.07,153.91,48.07,152.67,150.74,48.07,105.93,3.04,16.01,23.37,304.68,48.07,12.01,48.07,17.18,21.02,3.04,6.83,3.04,6.83,48.07,6.83,0.00,371.76,66.52,105.93,6.12,48.07,42.09,304.68,48.07,27.55,3.04,8.95,152.67,152.67,3.04,27.55,48.07,6.12,153.91,660.71,19.17,2.52,6.12,304.68,0.59,577.14,3.04,42.62,66.52,48.07,48.07,
Non-Hazardous,Landfill,Leachate,/kg,Waste_Non-Hazardous_Landfill_Leachate,0.30,0.33,0.30,0.75,0.54,0.39,0.34,0.54,0.33,0.34,0.44,0.15,0.33,0.34,1.17,0.33,0.34,0.33,0.16,0.37,0.39,0.45,0.31,0.14,0.33,0.49,0.36,0.34,0.75,0.45,0.39,0.39,0.39,0.34,0.39,0.39,0.34,0.39,0.39,0.54,0.21,0.75,0.27,0.39,0.39,0.39,0.58,0.39,0.54,0.37,0.34,0.54,1.00,0.17,0.30,0.37,0.55,0.21,0.40,0.37,0.49,0.39,0.57,0.39,0.39,0.54,0.57,0.08,0.13,0.75,0.49,0.39,0.33,0.15,0.39,0.54,0.52,0.54,0.37,0.75,0.31,0.39,0.39,0.34,0.14,0.14,0.75,0.80,0.54,0.15,0.33,0.30,0.50,0.85,0.54,1.17,1.09,0.29,0.66,0.19,0.33,0.39,0.34,0.44,1.55,0.33,1.17,0.28,0.34,0.57,0.30,0.39,0.39,0.50,0.54,0.70,0.54,0.75,0.39,0.39,0.78,0.36,0.39,1.17,0.57,0.39,0.76,0.32,0.34,0.33,0.54,0.34,0.33,0.30,0.39,0.34,0.49,0.75,0.31,0.18,0.75,0.33,0.14,0.39,0.39,0.33,0.75,0.64,1.17,0.31,0.57,0.46,0.34,0.37,0.21,0.38,0.83,1.01,0.34,1.17,0.59,0.21,0.39,0.34,0.54,0.39,1.17,0.39,0.33,0.52,0.39,0.75,0.34,0.96,0.99,0.34,0.39,0.22,0.39,0.57,0.44,0.34,0.37,0.34,0.37,0.39,0.37,0.09,0.54,0.44,0.75,0.28,0.39,0.41,0.34,0.39,0.57,0.34,0.30,0.33,0.33,0.34,0.57,0.39,0.28,1.17,0.14,0.51,0.34,0.28,0.34,0.37,0.31,0.34,0.50,0.44,0.39,0.39,
Non-Hazardous,Landfill,Waste GHGs,/kg,Waste_Non-Hazardous_Landfill_Waste GHGs,179.15,187.00,183.05,183.84,185.85,136.54,152.34,66.45,187.00,152.34,183.05,187.00,187.00,152.34,183.05,178.32,152.34,187.00,187.00,112.54,136.54,187.00,181.47,123.89,187.00,96.26,85.05,152.34,183.84,187.00,136.54,136.54,136.54,185.01,136.54,187.00,152.34,136.54,136.54,185.85,178.32,178.32,18.56,136.54,136.54,136.54,62.12,136.54,185.85,112.54,152.34,185.85,187.00,187.00,183.05,112.54,191.51,89.04,183.05,112.54,96.26,136.54,187.00,136.54,136.54,185.85,181.38,187.00,187.00,183.84,96.26,136.54,187.00,187.00,136.54,185.85,178.32,185.85,112.54,183.84,162.07,136.54,136.54,152.34,123.89,123.89,183.84,187.00,185.85,183.05,191.70,183.05,158.10,187.00,185.85,183.05,187.00,191.70,187.00,183.05,187.00,136.54,185.01,179.96,178.32,187.00,183.05,187.00,185.01,187.00,183.05,136.54,136.54,158.10,185.85,187.00,185.85,183.84,136.54,136.54,172.44,157.31,136.54,183.05,181.38,136.54,9.46,42.92,185.01,187.00,185.85,185.01,187.00,183.05,136.54,185.01,96.26,183.84,181.47,187.00,183.84,187.00,123.89,136.54,136.54,187.00,183.84,180.68,183.05,181.47,181.38,111.35,185.01,112.54,145.42,191.70,187.00,178.32,152.34,183.05,187.00,187.00,136.54,185.01,185.85,136.54,183.05,136.54,187.00,139.45,136.54,183.84,152.34,187.00,187.00,185.01,136.54,183.05,136.54,183.05,183.05,152.34,112.54,152.34,112.54,136.54,112.54,187.00,185.85,179.94,183.84,187.00,136.54,183.05,185.01,136.54,181.38,152.34,183.05,187.00,187.00,152.34,181.38,136.54,187.00,183.05,187.00,187.00,167.35,187.00,185.01,183.05,178.32,152.34,158.10,179.94,136.54,136.54,
Non-Hazardous,Landfill,Disamenity,/kg,Waste_Non-Hazardous_Landfill_Disamenity,45.96,152.67,8.95,105.93,371.76,48.07,3.04,1.65,152.67,3.04,14.48,51.13,152.67,3.04,153.91,3.15,3.04,152.67,59.87,6.83,48.07,24.32,16.16,0.00,152.67,20.37,6.78,3.04,105.93,6.27,48.07,48.07,48.07,304.68,48.07,29.47,3.04,48.07,48.07,371.76,1.39,50.81,1.46,48.07,48.07,48.07,7.88,48.07,371.76,6.83,3.04,371.76,41.90,"4,055.10",8.95,6.83,14.50,3.31,1.87,6.83,20.37,48.07,7.35,48.07,48.07,371.76,27.55,856.79,123.02,105.93,20.37,48.07,152.67,19.92,48.07,371.76,10.45,371.76,6.83,105.93,7.32,48.07,48.07,3.04,0.00,0.00,105.93,19.24,371.76,24.33,8.55,8.95,42.62,18.26,371.76,153.91,43.34,26.25,14.88,16.04,152.67,48.07,304.68,95.04,387.70,152.67,153.91,6.12,304.68,4.31,8.95,48.07,48.07,42.62,371.76,9.85,371.76,105.93,48.07,48.07,8.74,22.07,48.07,153.91,27.55,48.07,28.73,3.72,304.68,152.67,371.76,304.68,152.67,8.95,48.07,304.68,20.37,105.93,16.16,"2,825.87",105.93,6.64,0.00,48.07,48.07,152.67,105.93,10.67,153.91,16.16,27.55,5.22,304.68,6.83,1.69,32.22,19.84,19.37,3.04,153.91,8.66,299.07,48.07,304.68,371.76,48.07,153.91,48.07,152.67,150.74,48.07,105.93,3.04,16.01,23.37,304.68,48.07,12.01,48.07,17.18,21.02,3.04,6.83,3.04,6.83,48.07,6.83,0.00,371.76,66.52,105.93,6.12,48.07,42.09,304.68,48.07,27.55,3.04,8.95,152.67,152.67,3.04,27.55,48.07,6.12,153.91,660.71,19.17,2.52,6.12,304.68,0.59,577.14,3.04,42.62,66.52,48.07,48.07,
Hazardous,Incineration,Waste GHGs,/kg,Waste_Hazardous_Incineration_Waste GHGs,386.36,380.28,386.45,369.66,385.53,386.36,385.50,383.39,380.28,385.50,387.39,387.08,380.28,385.50,386.46,387.81,385.50,380.28,385.34,385.62,386.36,382.78,387.81,387.81,380.28,387.81,386.62,385.50,369.66,383.29,386.36,386.36,386.36,376.63,386.36,386.47,385.50,386.36,386.36,385.53,386.35,360.05,385.40,386.36,386.36,386.36,387.80,386.36,385.53,385.62,385.50,385.53,382.16,387.76,386.45,385.62,381.30,386.12,385.16,385.62,387.81,386.36,387.79,386.36,386.36,385.53,374.08,387.28,386.48,369.66,387.81,386.36,380.28,383.89,386.36,385.53,384.16,385.53,385.62,369.66,387.35,386.36,386.36,385.50,387.81,387.81,369.66,383.31,385.53,387.81,368.43,386.45,384.66,387.09,385.53,386.46,384.29,387.81,333.45,387.74,380.28,386.36,376.63,378.87,370.00,380.28,386.46,386.87,376.63,387.80,386.45,386.36,386.36,384.66,385.53,387.70,385.53,369.66,386.36,386.36,385.31,385.33,386.36,386.46,374.08,386.36,387.81,382.48,376.63,380.28,385.53,376.63,380.28,386.45,386.36,376.63,387.81,369.66,387.81,384.16,369.66,387.81,387.81,386.36,386.36,380.28,369.66,387.70,386.46,387.81,374.08,384.58,376.63,385.62,387.77,374.51,378.23,387.29,385.50,386.46,379.11,377.27,386.36,376.63,385.53,386.36,386.46,386.36,380.28,385.67,386.36,369.66,385.50,386.62,385.80,376.63,386.36,387.81,386.36,387.80,387.81,385.50,385.62,385.50,385.62,386.36,385.62,387.29,385.53,385.69,369.66,386.87,386.36,382.53,376.63,386.36,374.08,385.50,386.45,380.28,380.28,385.50,374.08,386.36,386.87,386.46,386.68,379.10,385.56,386.87,376.63,385.73,378.74,385.50,384.66,385.69,386.36,386.36,
Hazardous,Incineration,Disamenity,/kg,Waste_Hazardous_Incineration_Disamenity,3.01,4.59,0.94,87.08,25.64,3.01,1.71,1.17,4.59,1.71,1.00,30.40,4.59,1.71,202.51,0.00,1.71,4.59,61.24,2.21,3.01,3.93,0.00,0.00,4.59,0.00,1.27,1.71,87.08,8.59,3.01,3.01,3.01,23.80,3.01,1.18,1.71,3.01,3.01,25.64,0.00,35.11,1.81,3.01,3.01,3.01,0.00,3.01,25.64,2.21,1.71,25.64,27.70,36.77,0.94,2.21,7.92,2.56,1.87,2.21,0.00,3.01,5.81,3.01,3.01,25.64,17.32,4.91,33.38,87.08,0.00,3.01,4.59,73.55,3.01,25.64,12.30,25.64,2.21,87.08,5.42,3.01,3.01,1.71,0.00,0.00,87.08,15.38,25.64,0.00,5.93,0.94,36.77,11.82,25.64,202.51,30.38,0.00,75.16,0.00,4.59,3.01,23.80,26.27,272.14,4.59,202.51,4.65,23.80,0.00,0.94,3.01,3.01,36.77,25.64,6.75,25.64,87.08,3.01,3.01,3.76,2.71,3.01,202.51,17.32,3.01,0.00,2.51,23.80,4.59,25.64,23.80,4.59,0.94,3.01,23.80,0.00,87.08,0.00,119.70,87.08,0.00,0.00,3.01,3.01,4.59,87.08,4.05,202.51,0.00,17.32,3.31,23.80,2.21,1.31,22.27,13.51,12.85,1.71,202.51,7.02,0.59,3.01,23.80,25.64,3.01,202.51,3.01,4.59,17.34,3.01,87.08,1.71,13.90,13.17,23.80,3.01,0.00,3.01,11.84,0.00,1.71,2.21,1.71,2.21,3.01,2.21,6.62,25.64,37.07,87.08,4.65,3.01,24.49,23.80,3.01,17.32,1.71,0.94,4.59,4.59,1.71,17.32,3.01,4.65,202.51,62.33,6.67,1.83,4.65,23.80,0.38,25.33,1.71,36.77,37.07,3.01,3.01,
Hazardous,Incineration,Waste Air pollution,/kg,Waste_Hazardous_Incineration_Waste Air pollution,18.28,3.70,4.11,2.64,3.67,6.30,4.11,3.88,3.70,4.11,3.35,3.81,3.70,4.11,3.37,56.26,4.11,3.70,3.86,4.00,6.30,5.87,25.35,4.04,3.70,1.38,5.03,4.11,2.64,3.70,6.30,6.30,6.30,4.30,6.30,8.16,4.11,6.30,6.30,3.67,4.91,4.14,7.22,6.30,6.30,6.30,3.54,6.30,3.67,4.00,4.11,3.67,3.45,3.26,4.11,4.00,3.73,3.30,4.21,4.00,1.38,6.30,2.58,6.30,6.30,3.67,4.37,3.06,1.00,2.64,1.38,6.30,3.70,3.10,6.30,3.67,4.24,3.67,4.00,2.64,3.50,6.30,6.30,4.11,4.04,4.04,2.64,4.38,3.67,15.07,2.99,4.11,3.82,3.06,3.67,3.37,4.89,1.62,2.80,4.00,3.70,6.30,4.30,7.44,3.32,3.70,3.37,3.97,4.30,4.03,4.11,6.30,6.30,3.82,3.67,3.60,3.67,2.64,6.30,6.30,5.24,14.56,6.30,3.37,4.37,6.30,1.52,4.08,4.30,3.70,3.67,4.30,3.70,4.11,6.30,4.30,1.38,2.64,25.35,3.16,2.64,1.07,4.04,6.30,6.30,3.70,2.64,5.90,3.37,25.35,4.37,3.77,4.30,4.00,4.16,3.27,3.14,4.02,4.11,3.37,4.01,3.69,6.30,4.30,3.67,6.30,3.37,6.30,3.70,2.54,6.30,2.64,4.11,4.11,3.56,4.30,6.30,1.25,6.30,4.41,4.73,4.11,4.00,4.11,4.00,6.30,4.00,1.36,3.67,7.53,2.64,3.97,6.30,5.10,4.30,6.30,4.37,4.11,4.11,3.70,3.70,4.11,4.37,6.30,3.97,3.37,6.04,3.58,3.66,3.97,4.30,3.95,5.33,4.11,3.82,7.53,6.30,6.30,
